"DR‑style ID","Artifact (ALN / SQL / Rust)","Scope & Repo Target","Core Role & Invariants"
"DR‑SPINE‑GOV‑001","econetgovernancespine crate (Rust)","EcoNet SPINE / Eco‑Fort governance DB","Canonical, read‑only access to planes, KER, residual windows, blast radius, lane status, topology, MT6883 registry; all governance reads must go through this API; verifyschema must fail fast on drift.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md+1"
"DR‑SPINE‑GOV‑SQL‑001","dbdbeconetgovernancespine.sql","Eco‑Fort DB (governance shard)","Materializes planeweights, blastradiusindex, lanestatusshard, topology audit, MT6883 tables; append‑only, audited, with foreign keys to definitionregistry and shardinstance; forms the on‑disk contract for econetgovernancespine.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md+1"
"DR‑DR‑CORE‑001","DefinitionRegistry2026v1.aln","Eco‑Fort / governance grammar","ALN definition of registry structure: defid, category, contractid, alnfile, sqlfile, rustmodule, DB shard bindings, plane/coord refs; must be the only way to declare new DR objects in governance band.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md"
"DR‑DR‑CORE‑SQL‑001","dbdbdefinitionregistry.sql","Eco‑Fort DB","Physical tables definitionregistry, definitionplaneref, definitioncoordref, DB shard link tables, and views vdefinitionregistryfull, vdefinitionactiveprod; all grammar artifacts and DBs must be registered here before affecting PROD.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑DR‑CI‑001","check-definition-registry CLI (Rust)","SPINE / Eco‑Fort CI","CI job that fails when new .aln/.sql/.rs in governance/ecosafety bands lack a registry row and contract; enforces “registry as canonical” and prevents orphaned grammar.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑LANE‑VIEW‑001","vshardresidual, vshardker, vshardtopologyker views (SQL)","Eco‑Fort DB / ecosafetyindex","Canonical residual and KER views per shard/window; must reproduce kerresidual results within contracted epsilon and expose topology risk and plane contributions via PlaneWeightsShard2026v1.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md+1"
"DR‑LANE‑VIEW‑002","vlaneadmissibility view (SQL)","Eco‑Fort DB / governance","Single admissibility surface per shard/lane, combining K/E/R, residual trend, topology, RoH, carbonnegativeok/restorationok; lane governors and schedulers must only consult this view for EXPPROD/PROD decisions.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md+1"
"DR‑LANE‑HIST‑001","lanepromotionhistory table + view (SQL)","Eco‑Fort DB / governance","Append‑only lane transition history with K/E/R, residual, and evidence per window; enforces minimum evidence windows and monotone lane upgrades; no downward transitions recorded.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md+1"
"DR‑LANE‑API‑001","LaneFilter + lane APIs in GovernanceSpine (Rust)","econetgovernancespine crate","Rust API requiring explicit lane filters (Exact/UpTo/AnyNonProd) for residual and lane queries; GOV/ENGINE crates must not be allowed to query without lane filters; PROD path must use Exact(""PROD"") semantics.the-constellation-spine-layer-ly_dfeXkQG2O6oT7H77B0w.md"
"DR‑ECOUNIT‑ALN‑001","EcoUnitShard2026v1.aln","EcoNet / eco‑wealth grammar","ALN particle for EcoUnit windows keyed by steward, region, window, contract; fields include K/E/R window values, residual trend, CEIM benefit coefficients, trust discounts, eco‑unit raw/final; bound to existing KER residual grammar.fd34eb86-370e-4754-95b5-67d54c628030.md+1"
"DR‑ECOUNIT‑SQL‑001","dbecowealthindex.sql (ecounitwindow table + vecounitwithker view)","Eco‑Fort DB","Normalized EcoUnit table + view joining back to ecosafetywindows and knowledgeecoscore; must enforce corridor‑bounded eco‑unit and non‑offsettable plane invariants (EcoUnit cannot increase when non‑offsettable planes worsen).fd34eb86-370e-4754-95b5-67d54c628030.md+1"
"DR‑ECOWEALTH‑SQL‑001","steward_eco_wealth_statement table + vsteward_eco_wealth_latest view","Eco‑Fort DB","Steward‑level wealth statements aggregating EcoUnit and assets by region; indexes on (stewarddid, region, windowend); ready for sub‑second dashboards and Paycomp; K/E/R‑consistent.fd34eb86-370e-4754-95b5-67d54c628030.md+1"
"DR‑REP‑FLOOR‑SQL‑001","dbrepresentationfloor.sql (representation_floor table + vrepresentation_floor_active view)","Eco‑Fort DB / governance","Encodes representation floors per plane/coord/region/group; must be enforced as hard constraints in eco‑wealth and governance; violations surfaced via dedicated lane/eco‑wealth views.f26a2847-4143-48e3-962c-5f6dce83f500.md"
"DR‑EDU‑CORR‑SQL‑001","dbeducationcorridors.sql (education_multiplier_corridor + vsteward_effective_ker)","Eco‑Fort DB / knowledgeecoscore","Corridor for education multipliers and a view computing effective K/E under bounded multipliers and decay; prevents unbounded K inflation from education prompts.fd34eb86-370e-4754-95b5-67d54c628030.md+1"
"DR‑CYBO‑ECO‑VIEW‑001","dbecocyboquaticviews.sql (vcyboquaticecoperjoule + PROD filter view)","Eco‑Fort DB / CyboquaticEcoPlot","View computing energyjoules and ecoper‑joule from CyboquaticEcoPlot; PROD variant filters to lane=PROD, kerdeployable=1; serves as carbon‑negative predicate input.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑CYBO‑BLAST‑SQL‑001","dbecoblastradiusrestoration.sql (vblastradiusrestoration + columns)","Eco‑Fort DB / blastradiusindex","Extends blastradiusindex with restorationradiusm, deltamasswindowkg, deltakarmawindow, restorationok and exposes them via a view; must keep blast radius append‑only and auditable.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑CYBO‑LANE‑001","LaneStatusShard augmentation (ALN+SQL) with carbonnegativeok and restorationok","Eco‑Fort / Virta‑Sys","LaneStatusShard must store carbonnegative and restoration flags; PROD/EXPPROD lane promotions for Cyboquatic nodes require both flags true plus standard K/E/R and topology constraints.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑CYBO‑SCHED‑C‑001","Cyboquatic governor library + CLI (C / Rust, non‑actuating)","Cyboquatic scheduler repo","Non‑actuating tool that reads governance DB + Cyboquatic qpudatashards, computes ecoper‑joule and restoration radius, sets carbonnegativeok/restorationok, writes back via DB; acts as CI harness for Cyboquatic admissibility.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"
"DR‑KER‑KANI‑001","kerdeployable Kani harness (Rust test crate)","ecosafety core / kerresidual","Bounded‑model checking harness proving kerdeployable respects K/E/R thresholds and Safestep invariants for all non‑offsettable planes; registered in DR and wired into CI.f26a2847-4143-48e3-962c-5f6dce83f500.md"
"DR‑PLANE‑WEIGHTS‑001","PlaneWeightsShard2026v1.aln + dbplaneweightsschema.sql","Eco‑Fort / ecosafety","Canonical plane weights and non‑offsettable flags; all residual and Safestep checks must load weights from here; supports additional planes (topology, eco‑wealth, sensor trust, canal velocity).f26a2847-4143-48e3-962c-5f6dce83f500.md+1"
"DR‑TRUST‑PLANE‑001","Sensor trust plane integration (ALN + SQL)","Eco‑Fort / sensor health","Adds a data‑trust plane and coordinates (rcalib, rsigma), updates residualterm and ecosafetywindowplane to include trust penalties; defines trust‑adjusted K/E via knowledgeecoscore.fd34eb86-370e-4754-95b5-67d54c628030.md+1"
"DR‑CEIM‑PHX‑001","CEIMBenefitKernelPhoenix2026v1.aln + dbceim_benefit_kernel_phoenix.sql","Eco‑Fort / CEIM","Phoenix‑specific CEIM kernel parameters (Sregion, contaminant factors, hydrology links); used by EcoUnit and CyboquaticEcoPlot; must satisfy existing CEIM and KER invariants.this-research-focuses-on-advan-1AjK4pnPSd2iai7fyl5g9Q.md+1"